0,0,0
0,0,0
0,0,0
0,0,0
0,1,148
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,5
0,0,0
0,1,5
0,2,13
0,1,15
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,7
0,0,0
0,3,0
0,5,16
0,2,0
2,0,0
2,4,0
0,4,0
0,1,0
1,2,0
2,4,0
1,5,0
5,9,6
7,11,0
3,9,0
1,8,0
0,5,0
6,11,0
10,15,0
7,8,0
4,5,0
3,5,0
3,3,0
144,6,0
144,11,0
3,16,0
4,16,0
4,9,0
2,13,0
6,15,0
8,8,0
7,12,0
6,15,0
7,9,0
6,5,0
1,8,0
2,7,0
1,4,0
3,5,0
5,5,0
4,3,0
2,3,0
3,5,0
3,5,0
4,3,0
9,2,0
12,10,0
8,14,0
4,6,0
4,2,0
4,2,0
5,1,0
3,5,0
2,8,0
4,10,0
4,8,0
2,3,0
2,3,0
1,3,0
1,4,0
3,5,0
2,5,0
0,3,0
1,2,0
2,2,0
3,1,0
3,3,0
3,5,0
5,3,26
3,3,0
1,6,0
1,5,0
4,3,0
6,1,0
5,3,0
3,8,0
0,8,0
0,5,0
0,2,0
0,1,0
0,1,0
4,1,0
4,6,0
7,7,0
10,4,0
5,6,0
4,9,0
4,10,0
3,6,0
3,1,0
4,1,0
5,6,0
3,7,0
2,13,0
3,18,0
5,9,0
9,8,0
6,9,0
1,4,0
0,1,0
4,2,0
4,2,0
0,1,0
2,2,0
6,2,19
5,2,14
4,2,0
7,2,0
7,1,0
4,0,0
2,1,0
4,2,0
4,3,0
3,3,0
3,4,0
2,4,8
7,1,0
7,2,0
3,4,0
2,10,0
0,8,0
4,1,0
6,4,0
2,6,0
1,7,0
3,4,0
2,0,0
2,2,0
3,4,0
1,7,8
3,10,0
7,9,0
6,4,0
3,5,0
3,10,0
2,11,0
3,9,0
5,6,0
6,5,23
7,5,0
5,6,0
3,3,0
1,2,0
4,5,0
7,4,0
5,5,0
6,5,0
4,4,0
1,4,0
6,1,0
6,0,0
2,1,0
4,3,5
5,2,0
2,1,0
1,3,0
1,3,0
4,3,0
4,4,0
3,3,0
4,3,0
2,2,0
1,0,0
1,7,0
